t, x, y, z,fl
1540790340.441,39195,-84805,5905.40008799732,0.000343297781832
1540790654.674,39195,-84805,5904.97508799098,0.000346450279049
1540790971.171,39195,-84805,5904.52508798428,0.000347596657675
1540791288.54,39195,-84805,5903.92508797534,0.000348150847448
1540791607.831,39195,-84805,5904.3250879813,0.000350886593337
1540791929.415,39195,-84805,5903.17508796416,0.000353561935525
1540792243.884,39195,-84805,5902.55008795485,0.00035465122472
1540792560.614,39195,-84805,5902.37508795224,0.000357272929838
1540792881.459,39195,-84805,5902.62508795597,0.000359665408292
1540793198.104,39195,-84805,5902.15008794889,0.000364292085289
1540793518.792,39195,-84805,5901.82508794405,0.000361328920621
1540793840.111,39195,-84805,5903.02508796193,0.000364084309954
1540794161.915,39195,-84805,5902.55008795485,0.000368566134505
1540794486.038,39195,-84805,5902.00008794665,0.000370583861344
1540794805.307,39195,-84805,5903.3250879664,0.000368251853074
1540795122.303,39195,-84805,5902.80008795858,0.00037273028381
1540795445.139,39195,-84805,5903.27508796565,0.000373388503122
1540795766.866,39195,-84805,5902.25008795038,0.000373075888549
1540796087.82,39195,-84805,5901.85008794442,0.000373495510504
1540796402.314,39195,-84805,5901.82508794405,0.000373918092799
1540796721.919,39195,-84805,5901.7750879433,0.000376069473324
1540797036.35,39195,-84805,5901.17508793436,0.000378842651734
1540797355.107,39195,-84805,5901.67508794181,0.000378272862423
1540797674.73,39195,-84805,5902.00008794665,0.000378339691032
1540797993.602,39195,-84805,5901.80008794367,0.000384487927783
1540798308.131,39195,-84805,5901.75008794293,0.000388519381187
1540798629.066,39195,-84805,5902.60008795559,0.000387213032693
1540798948.593,39195,-84805,5901.45008793846,0.000388129243821
1540799270.128,39195,-84805,5901.62508794107,0.00038811091587
1540799593.093,39195,-84805,5901.95008794591,0.000389460191499
1540799912.921,39195,-84805,5900.92508793063,0.000391991587007
1540800229.143,39195,-84805,5900.92508793063,0.000396570917022
1540800547.675,39195,-84805,5901.25008793548,0.000396440999735
1540800865.194,39195,-84805,5901.30008793622,0.00039863198165
1540801184.204,39195,-84805,5901.5000879392,0.000401714049718
1540801502.38,39195,-84805,5900.97508793138,0.000401246813577
1540801822.296,39195,-84805,5901.00008793175,0.00040509080899
1540802140.713,39195,-84805,5900.20008791983,0.00040227094323
1540802456.681,39195,-84805,5900.07508791797,0.000403824964806
1540802775.24,39195,-84805,5900.7750879284,0.000403039517352
1540803093.517,39195,-84805,5900.30008792132,0.000407653993624
1540803416.287,39195,-84805,5900.2250879202,0.00040553378363
1540803736.409,39195,-84805,5900.15008791909,0.000411093015069
1540804053.052,39195,-84805,5900.07508791797,0.000409170383266
1540804371.297,39195,-84805,5901.10008793324,0.000410833762216
1540804687.66,39195,-84805,5900.72508792765,0.000415030720559
1540805007.116,39195,-84805,5900.15008791909,0.000415840712036
1540805322.833,39195,-84805,5900.10008791834,0.000417141073184
1540805640.898,39195,-84805,5900.92508793063,0.000420894668172
1540805958.191,39195,-84805,5900.37508792244,0.000420250779242
1540806277.888,39195,-84805,5900.47508792393,0.000419241818416
1540806593.293,39195,-84805,5900.00008791685,0.000421596507815
1540806909.178,39195,-84805,5899.95008791611,0.000422448343864
1540807227.287,39195,-84805,5900.35008792207,0.000422559031569
1540807547.333,39195,-84805,5900.72508792765,0.000425486314948
1540807864.239,39195,-84805,5900.0500879176,0.000428557647218
1540808185.975,39195,-84805,5900.07508791797,0.000426336227916
1540808506.599,39195,-84805,5900.57508792542,0.000430662753795
1540808823.127,39195,-84805,5900.5000879243,0.000435311646038
1540809138.506,39195,-84805,5900.00008791685,0.000431842985736
1540809458.81,39195,-84805,5900.90008793026,0.000430331022598
