t,x,y,z,fl
1.542471078734999895e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.789800086274743080e+03,3.575155503793697545e-06
1.542471392007999897e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.789800086274743080e+03,3.727714230761832932e-06
1.542471712822999954e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.789625086272135377e+03,3.729621519928206304e-06
1.542472030611000061e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.789550086271017790e+03,3.714326541855691941e-06
1.542472346714999914e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.788500086255371571e+03,3.713944988239605144e-06
1.542472663424999952e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.787425086239352822e+03,3.764836646349123361e-06
1.542472981628999949e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.788200086250901222e+03,3.965477775239966908e-06
1.542473300038000107e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.788050086248666048e+03,3.696128551904616346e-06
1.542473618209000111e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.788025086248293519e+03,3.713103211792046080e-06
1.542473938638000011e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.788775086259469390e+03,3.820144384520501033e-06
1.542474257224999905e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.790300086282193661e+03,4.068367772283249794e-06
1.542474574164999962e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.790325086282566190e+03,3.896676750695739356e-06
1.542474891036000013e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.790750086288899183e+03,4.148302777901091401e-06
1.542475204973999977e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.790725086288526654e+03,3.725375763285597282e-06
1.542475521625999928e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.791325086297467351e+03,4.195125525582392774e-06
1.542475835963999987e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.791250086296349764e+03,4.184615862568588518e-06
1.542476149503999949e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.791275086296722293e+03,4.024765115423628039e-06
1.542476463983999968e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.791275086296722293e+03,3.962627230925732332e-06
1.542476778969000101e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.791675086302682757e+03,3.763354721842434206e-06
1.542477093980999947e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.791675086302682757e+03,3.843782885618895643e-06
