t, u
1.542449609257999897e+09,0.000000000000000000e+00
1.542449639259000063e+09,0.000000000000000000e+00
1.542449684897000074e+09,0.000000000000000000e+00
1.542449714897000074e+09,0.000000000000000000e+00
1.542449744898000002e+09,0.000000000000000000e+00
1.542449774898999929e+09,0.000000000000000000e+00
1.542449804898999929e+09,0.000000000000000000e+00
1.542449834900000095e+09,0.000000000000000000e+00
1.542449864900000095e+09,0.000000000000000000e+00
1.542449894901000023e+09,0.000000000000000000e+00
1.542449924901000023e+09,0.000000000000000000e+00
1.542449954901999950e+09,0.000000000000000000e+00
1.542450000963999987e+09,0.000000000000000000e+00
1.542450030964999914e+09,0.000000000000000000e+00
1.542450060964999914e+09,0.000000000000000000e+00
1.542450090966000080e+09,0.000000000000000000e+00
1.542450120966000080e+09,0.000000000000000000e+00
1.542450150967999935e+09,0.000000000000000000e+00
1.542450180969000101e+09,0.000000000000000000e+00
1.542450210970000029e+09,0.000000000000000000e+00
1.542450240970000029e+09,0.000000000000000000e+00
1.542450270971999884e+09,0.000000000000000000e+00
1.542450316510999918e+09,0.000000000000000000e+00
1.542450346512000084e+09,0.000000000000000000e+00
1.542450376513000011e+09,0.000000000000000000e+00
1.542450406513000011e+09,0.000000000000000000e+00
1.542450436513999939e+09,0.000000000000000000e+00
1.542450466513999939e+09,0.000000000000000000e+00
1.542450496515000105e+09,0.000000000000000000e+00
1.542450526516000032e+09,0.000000000000000000e+00
1.542450556516000032e+09,0.000000000000000000e+00
1.542450586516999960e+09,0.000000000000000000e+00
1.542450631677999973e+09,0.000000000000000000e+00
1.542450661677999973e+09,0.000000000000000000e+00
1.542450691678999901e+09,0.000000000000000000e+00
1.542450721678999901e+09,0.000000000000000000e+00
1.542450751680000067e+09,0.000000000000000000e+00
1.542450781681999922e+09,0.000000000000000000e+00
1.542450811681999922e+09,0.000000000000000000e+00
1.542450841683000088e+09,0.000000000000000000e+00
1.542450871683000088e+09,0.000000000000000000e+00
1.542450901684000015e+09,0.000000000000000000e+00
1.542450944724999905e+09,0.000000000000000000e+00
1.542450974724999905e+09,0.000000000000000000e+00
1.542451004726000071e+09,0.000000000000000000e+00
1.542451034726999998e+09,0.000000000000000000e+00
1.542451064726999998e+09,0.000000000000000000e+00
1.542451094727999926e+09,0.000000000000000000e+00
1.542451124727999926e+09,0.000000000000000000e+00
1.542451154729000092e+09,0.000000000000000000e+00
1.542451184729000092e+09,0.000000000000000000e+00
1.542451214730000019e+09,0.000000000000000000e+00
1.542451257355000019e+09,0.000000000000000000e+00
1.542451287355000019e+09,0.000000000000000000e+00
